weekendingdate,jurisdiction,totalconfc19newadm,totalconfc19newadmadult,totalconfc19newadmped,totalconfflunewadm,numconfc19newadmped0to4,numconfc19newadmped5to17,numconfc19newadmadult18to49,numconfc19newadmunk,totalconfflunewadmadult,totalconfflunewadmped,totalconfrsvnewadm,totalconfrsvnewadmadult,totalconfrsvnewadmped,numconfc19newadmadult50to64,numconfc19newadmadult65to74,numconfc19newadmadult75plus,numconfflunewadmped0to4,numconfflunewadmped5to17,numconfflunewadmadult18to49,numconfflunewadmadult50to64,numconfflunewadmadult65to74,numconfflunewadmadult75plus,numconfflunewadmunk,numconfrsvnewadmped0to4,numconfrsvnewadmped5to17,numconfrsvnewadmadult18to49,numconfrsvnewadmadult50to64,numconfrsvnewadmadult65to74,numconfrsvnewadmadult75plus,numconfrsvnewadmunk
2023-04-15,HI,115.0,87.0,28.0,1.0,7.0,21.0,6.0,30.0,,,,,,,,,,,,,,,,,,,,,,
2023-11-11,HI,111.0,82.0,29.0,16.0,8.0,21.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,
2024-05-18,HI,15.0,14.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-12,KS,176.0,169.0,7.0,40.0,5.0,2.0,36.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2023-02-25,KS,227.0,219.0,8.0,8.0,3.0,5.0,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-13,KS,285.0,282.0,3.0,101.0,1.0,2.0,35.0,9.0,6.0,0.0,15.0,6.0,9.0,,,,,,,,,,,,,,,,,
2022-06-11,MA,661.0,640.0,21.0,40.0,15.0,6.0,97.0,7.0,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,MA,368.0,358.0,10.0,13.0,4.0,6.0,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2023-10-21,MA,463.0,449.0,14.0,14.0,13.0,0.0,31.0,7.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-13,MA,927.0,895.0,32.0,518.0,18.0,14.0,110.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,MP,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-11-27,OK,524.0,515.0,9.0,15.0,,,134.0,10.0,,,,,,,,,,,,,,,,,,,,,,
2025-04-05,OK,98.0,90.0,8.0,40.0,7.0,1.0,15.0,0.0,38.0,2.0,31.0,24.0,7.0,18.0,25.0,32.0,1.0,1.0,5.0,11.0,10.0,12.0,0.0,7.0,0.0,1.0,5.0,6.0,12.0,0.0
2024-10-12,PR,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03,UT,193.0,187.0,6.0,,,,59.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,UT,635.0,609.0,26.0,0.0,,,182.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-08-17,UT,73.0,65.0,8.0,0.0,6.0,2.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2025-04-26,AK,6.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14,AR,791.0,783.0,8.0,10.0,,,103.0,7.0,,,,,,,,,,,,,,,,,,,,,,
2023-01-14,AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,CO,490.0,471.0,19.0,0.0,,,198.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2024-10-19,FL,146.0,138.0,7.0,134.0,6.0,1.0,16.0,1.0,125.0,9.0,86.0,42.0,44.0,24.0,21.0,77.0,5.0,4.0,19.0,35.0,24.0,47.0,0.0,40.0,4.0,12.0,6.0,8.0,16.0,0.0
2024-07-20,GA,97.0,96.0,1.0,0.0,0.0,1.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-12-21,GA,171.0,165.0,4.0,388.0,4.0,0.0,21.0,2.0,332.0,55.0,430.0,233.0,197.0,26.0,40.0,78.0,25.0,30.0,91.0,69.0,85.0,87.0,1.0,170.0,27.0,39.0,44.0,52.0,98.0,0.0
2021-08-14,HI,302.0,301.0,1.0,2.0,,,68.0,30.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-02,HI,77.0,47.0,30.0,23.0,9.0,21.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,HI,34.0,31.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2021-11-20,KS,520.0,506.0,14.0,2.0,,,104.0,40.0,,,,,,,,,,,,,,,,,,,,,,
2022-10-08,MA,888.0,874.0,14.0,6.0,5.0,8.0,136.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2021-10-30,MP,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-11-26,OK,227.0,217.0,10.0,344.0,6.0,1.0,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,PR,1315.0,1310.0,5.0,15.0,,,372.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2020-09-05,UT,139.0,130.0,9.0,,,,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,UT,244.0,223.0,21.0,12.0,8.0,13.0,113.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2023-11-18,AR,153.0,142.0,11.0,17.0,6.0,5.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-03-02,AR,220.0,212.0,8.0,278.0,7.0,1.0,39.0,3.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-12-07,AS,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-17,CO,595.0,567.0,28.0,255.0,21.0,7.0,87.0,14.0,,,,,,,,,,,,,,,,,,,,,,
2025-05-24,FL,328.0,311.0,17.0,210.0,13.0,4.0,39.0,0.0,183.0,27.0,71.0,38.0,33.0,39.0,74.0,159.0,10.0,17.0,40.0,33.0,42.0,68.0,0.0,33.0,0.0,2.0,10.0,7.0,19.0,0.0
2023-01-28,GA,1077.0,996.0,81.0,71.0,45.0,30.0,129.0,134.0,,,,,,,,,,,,,,,,,,,,,,
2024-03-16,GA,490.0,456.0,34.0,102.0,22.0,11.0,67.0,14.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2025-05-03,GA,103.0,100.0,3.0,44.0,1.0,2.0,10.0,0.0,39.0,5.0,19.0,10.0,9.0,29.0,28.0,33.0,1.0,4.0,5.0,8.0,10.0,16.0,0.0,8.0,1.0,4.0,2.0,1.0,3.0,0.0
2022-11-12,HI,96.0,66.0,30.0,21.0,9.0,21.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,
2023-06-10,HI,88.0,58.0,30.0,6.0,8.0,22.0,2.0,17.0,,,,,,,,,,,,,,,,,,,,,,
2024-05-18,KS,28.0,28.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,
2020-09-12,MP,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-05-29,OK,199.0,192.0,7.0,10.0,,,73.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-04-16,OK,64.0,60.0,4.0,100.0,2.0,0.0,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2023-06-24,OK,51.0,49.0,2.0,9.0,1.0,1.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,OK,12.0,10.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-02-10,UT,116.0,96.0,20.0,16.0,14.0,6.0,31.0,0.0,0.0,0.0,11.0,0.0,11.0,,,,,,,,,,,,,,,,,
2025-01-04,UT,96.0,82.0,14.0,388.0,10.0,4.0,20.0,0.0,329.0,59.0,110.0,25.0,85.0,11.0,13.0,38.0,40.0,19.0,77.0,60.0,65.0,127.0,0.0,82.0,3.0,3.0,9.0,4.0,9.0,0.0
2021-01-02,USA,120324.0,118966.0,1358.0,743.0,,,19795.0,4641.0,,,,,,,,,,,,,,,,,,,,,,
